 	  	 1 1 1 1 	 오디오 1	 2	 4 0 0 0	
 	  	 4 3 1 1 	 SoCal	 4	 14 2 0 0	
 	  	 4 4 1 1 	 오디오 2	 8	 4 1 0 0	
 	  	 5 1 1 1 	 오디오 1	 2	 2 0 0 0	
 	  	 5 1 1 1 	 80s Vocals	 6	 12 0 0 0	
 	  	 5 1 1 1 	 오디오 7	 9	 4 0 0 0	
 	  	 5 4 3 121 	 Vintage Vocal	 11	 59 1 0 173.	
 	  	 7 1 1 1 	 오디오 1	 2	 2 0 0 0	
 	  	 9 1 1 1 	 오디오 1	 2	 2 0 0 0	
 	  	 9 1 1 1 	 오디오 6	 7	 8 0 0 0	
 	  	 9 1 1 1 	 오디오 2	 8	 2 0 0 0	
 	  	 9 1 1 1 	 오디오 7	 9	 8 0 0 0	
 	  	 11 1 1 1 	 오디오 1	 2	 2 0 0 0	
 	  	 11 1 1 1 	 오디오 2	 8	 2 0 0 0	
 	  	 13 1 1 1 	 오디오 1	 2	 2 0 0 0	
 	  	 13 1 1 1 	 오디오 2	 8	 2 0 0 0	
 	  	 15 1 1 1 	 오디오 1	 2	 2 0 0 0	
 	  	 15 1 1 1 	 오디오 2	 8	 2 0 0 0	
 	  	 17 1 1 1 	 rhythm guitar (clean)	 8	 2 0 0 0	
 	  	 18 4 1 1 	 오디오 4	 3	 0 1 0 0	
 	  	 18 4 1 1 	 80s Vocals	 6	 0 1 0 0	
 	  	 18 4 1 1 	 오디오 6	 7	 0 1 0 0	
 	  	 18 4 1 93.	 오디오 3	 5	 0 0 3 147.	
 	  	 19 1 1 1 	 오디오 4	 3	 12 0 0 0	
 	  	 19 1 1 1 	 SoCal	 4	 36 0 0 0	
 	  	 19 1 1 1 	 오디오 3	 5	 9 1 3 203	
 	  	 19 1 1 1 	 80s Vocals	 6	 9 1 0 27	
 	  	 19 1 1 1 	 오디오 6	 7	 8 3 3 52	
 	  	 19 1 1 1 	 Basic Audio	 8	 12 0 0 0	
 	  	 19 1 1 1 	 오디오 7	 9	 12 0 0 0	
 	  	 31 1 1 1 	 오디오 1	 2	 2 0 0 0	
 	  	 31 2 1 1 	 오디오 2	 8	 1 3 0 0	
 	  	 31 2 1 1 	 오디오 7	 9	 7 3 0 0	
 	  	 33 1 1 1 	 오디오 1	 2	 2 0 0 0	
 	  	 33 1 1 1 	 오디오 2	 8	 2 0 0 0	
 	  	 35 1 1 1 	 오디오 1	 2	 2 0 0 0	
 	  	 35 1 1 1 	 오디오 2	 8	 2 0 0 0	
 	  	 37 1 1 1 	 오디오 1	 2	 2 0 0 0	
 	  	 37 1 1 1 	 오디오 2	 8	 2 0 0 0	
 	  	 39 1 1 1 	 rhythm guitar (clean)#06	 8	 4 0 0 0	
 	  	 42 4 1 1 	 오디오 4	 3	 0 1 0 0	
 	  	 43 1 1 1 	 오디오 4	 3	 12 0 0 0	
 	  	 43 1 1 1 	 Basic Audio	 8	 12 0 0 0	
 	  	 43 1 1 1 	 오디오 7	 9	 12 0 0 0	
 	  	 55 1 1 1 	 Manchester Kit	 4	 10 0 0 0	
 	  	 55 1 1 1 	 rhythm guitar (clean)#18	 8	 10 0 0 0	
